team,pca_x,pca_y,avg_goals,avg_xG,progression_total,team_cluster,cluster_name
Arsenal,75.42154269748164,27.487658332248007,67,62.3,4479,2,Transição Rápida
Aston Villa,63.127908133643984,27.190727683190342,56,57.6,3395,2,Transição Rápida
Bournemouth,65.34045708574467,19.419680306506166,57,65.4,3717,2,Transição Rápida
Brentford,61.04352550969618,3.9127398447682014,65,60.7,3293,2,Transição Rápida
Brighton,65.12948447120722,14.000313822863784,64,59.5,3877,2,Transição Rápida
Chelsea,73.92072588852903,37.74157194231045,61,69.4,4032,2,Transição Rápida
Crystal Palace,59.157472455246875,34.588746999008194,49,61.5,2808,2,Transição Rápida
Everton,43.361668831030606,10.388634381770652,39,42.7,2550,0,Posse e Controle
Fulham,60.7716667693289,11.83978927997257,53,49.9,3888,2,Transição Rápida
Ipswich Town,38.48152772275862,10.329124671744198,35,35.0,2368,0,Posse e Controle
Leicester City,38.181181130230875,0.0,33,32.9,2730,0,Posse e Controle
Liverpool,86.93654692859619,9.811015638365848,85,84.1,4660,2,Transição Rápida
Manchester City,81.18154014567948,12.46016964861058,71,69.8,5010,2,Transição Rápida
Manchester Utd,54.297688330307494,10.857145098280297,42,53.6,3578,0,Posse e Controle
Newcastle Utd,68.98708313168768,7.537133692511782,66,65.0,3937,2,Transição Rápida
Nott'ham Forest,52.756278167792935,4.707741511465693,57,46.7,2875,0,Posse e Controle
Southampton,36.838530187069836,7.123005007421981,25,33.3,2885,0,Posse e Controle
Tottenham,67.33360296785148,10.750997530425543,61,59.900000000000006,4015,2,Transição Rápida
West Ham,49.261531929656115,9.353707898997525,43,48.2,3068,0,Posse e Controle
Wolves,52.559593407807355,6.689622612993465,53,44.1,2971,0,Posse e Controle
Alavés,40.54943416617473,10.147265086214789,38,43.4,2757,0,Posse e Controle
Athletic Club,59.12610757553283,8.013470608865521,53,54.4,3822,0,Posse e Controle
Atlético Madrid,70.70179694917357,19.06361106251177,68,65.3,3872,2,Transição Rápida
Barcelona,100.0,25.631662557321782,99,93.2,5273,2,Transição Rápida
Betis,59.81364139549955,20.81594818059878,55,56.0,3633,2,Transição Rápida
Celta Vigo,62.09584774688049,12.437276108655512,58,55.1,4017,2,Transição Rápida
Espanyol,38.91976077509108,6.028816163475568,38,35.0,2488,0,Posse e Controle
Getafe,36.384597464528674,10.05302914453116,34,38.2,2315,0,Posse e Controle
Girona,54.098559977598775,8.75580572925511,43,42.8,4140,0,Posse e Controle
Las Palmas,41.71369466485718,5.835258320877524,38,36.6,2906,0,Posse e Controle
Leganés,38.53706469014776,7.165444630775233,38,36.6,2470,0,Posse e Controle
Mallorca,40.940332886214385,9.425590834188407,34,39.2,2832,0,Posse e Controle
Osasuna,45.94735056046387,1.4631356277104623,46,45.3,2992,0,Posse e Controle
Rayo Vallecano,48.4605724992499,4.819956195807726,38,46.5,3297,0,Posse e Controle
Real Madrid,83.14312721893518,19.230338530949492,78,76.8,4903,2,Transição Rápida
Real Sociedad,46.57336151046745,13.864528843689172,34,42.9,3311,0,Posse e Controle
Sevilla,48.194171282730174,19.25479148200351,39,43.2,2973,0,Posse e Controle
Valencia,47.324384310695606,9.88911858775466,43,43.8,3240,0,Posse e Controle
Valladolid,34.2696660006535,9.88976802405825,26,35.1,2443,0,Posse e Controle
Villarreal,73.91431034967923,39.42849389712429,69,66.3,3725,2,Transição Rápida
Angers,35.72377969062332,11.446870197039132,31,36.4,2398,0,Posse e Controle
Auxerre,48.092543296273746,19.069025316826455,47,41.9,2646,0,Posse e Controle
Brest,48.34751514340122,17.850363137684226,52,46.8,2650,0,Posse e Controle
Le Havre,40.41410418603159,12.800269147359998,37,42.8,2622,0,Posse e Controle
Lens,52.636104953072,18.759721295186814,40,53.6,3461,0,Posse e Controle
Lille,59.042099988068365,25.903690053760855,52,56.6,3888,2,Transição Rápida
Lyon,66.98272872450879,19.21103286691164,62,61.3,3924,2,Transição Rápida
Marseille,71.36737321596526,24.871264693367767,70,65.5,4081,2,Transição Rápida
Monaco,74.01720397881864,26.55195830702651,63,75.0,3937,2,Transição Rápida
