player_id,player_name,current_club,position,age,recommended_to_team,vector_score,tactical_fit,final_score,player_cluster,recommendation_date
0,Youssouf Fofana,Ac Milan,MF,19,Bayern Munich,0.8883,1.0,0.9553,0,2025-12-15
1,Rico Lewis,Manchester City,"DF,MF",18,Bayern Munich,0.8525,1.0,0.941,0,2025-12-15
2,Warren Zaïre-Emery,Psg,"MF,DF",16,Bayern Munich,0.8515,1.0,0.9406,0,2025-12-15
3,Pierre Kalulu,Juventus,DF,20,Bayern Munich,0.8471,1.0,0.9388,0,2025-12-15
4,Angel Gomes,Marseille,"MF,FW",20,Bayern Munich,0.8102,1.0,0.9241,0,2025-12-15
5,Fabio Miretti,Juventus,MF,19,Bayern Munich,0.8063,1.0,0.9225,1,2025-12-15
6,Gavi,Barcelona,"MF,FW",18,Bayern Munich,0.7997,1.0,0.9199,0,2025-12-15
1,Marc Pubill,Atlético Madrid,"DF,MF",18,Borussia Dortmund,0.9096,1.0,0.9638,0,2025-12-15
2,Rayan Cherki,Manchester City,"FW,MF",17,Borussia Dortmund,0.8702,1.0,0.9481,0,2025-12-15
3,Pierre Kalulu,Juventus,DF,20,Borussia Dortmund,0.8607,1.0,0.9443,0,2025-12-15
4,Kassoum Ouattara,Monaco,"DF,FW",18,Borussia Dortmund,0.8499,1.0,0.94,0,2025-12-15
5,Rico Lewis,Manchester City,"DF,MF",18,Borussia Dortmund,0.8405,1.0,0.9362,0,2025-12-15
6,Brahim Díaz,Real Madrid,FW,18,Borussia Dortmund,0.8308,1.0,0.9323,0,2025-12-15
7,Ibrahim Mbaye,Psg,"FW,MF",16,Borussia Dortmund,0.8301,1.0,0.9321,0,2025-12-15
2,Pierre Kalulu,Juventus,DF,20,RB Leipzig,0.9207,1.0,0.9683,0,2025-12-15
3,Rayan Cherki,Manchester City,"FW,MF",17,RB Leipzig,0.8886,1.0,0.9555,0,2025-12-15
4,Kassoum Ouattara,Monaco,"DF,FW",18,RB Leipzig,0.8774,1.0,0.9509,0,2025-12-15
5,Alexis Mac Allister,Liverpool,"MF,FW",21,RB Leipzig,0.8763,1.0,0.9505,0,2025-12-15
6,Rico Lewis,Manchester City,"DF,MF",18,RB Leipzig,0.8719,1.0,0.9488,0,2025-12-15
7,Rico Lewis,Manchester City,"DF,MF",17,RB Leipzig,0.8714,1.0,0.9485,0,2025-12-15
8,Marc Pubill,Atlético Madrid,"DF,MF",18,RB Leipzig,0.8703,1.0,0.9481,0,2025-12-15
3,Rico Lewis,Manchester City,"DF,MF",17,Atlético Madrid,0.9067,1.0,0.9627,0,2025-12-15
4,Federico Dimarco,Inter,"DF,MF",20,Atlético Madrid,0.8836,1.0,0.9534,0,2025-12-15
5,Jeremie Frimpong,Liverpool,"DF,FW",19,Atlético Madrid,0.8734,1.0,0.9493,0,2025-12-15
6,Rayan Cherki,Manchester City,"FW,MF",17,Atlético Madrid,0.8702,1.0,0.9481,0,2025-12-15
7,Gavi,Barcelona,"MF,FW",18,Atlético Madrid,0.8699,1.0,0.9479,0,2025-12-15
8,Pierre Kalulu,Juventus,DF,20,Atlético Madrid,0.8584,1.0,0.9434,0,2025-12-15
9,Julien Duranville,Borussia Dortmund,"FW,MF",18,Atlético Madrid,0.8569,1.0,0.9428,0,2025-12-15
4,Senny Mayulu,Psg,MF,18,Barcelona,0.918,1.0,0.9672,1,2025-12-15
5,Phil Foden,Manchester City,"FW,MF",19,Barcelona,0.8674,1.0,0.947,1,2025-12-15
6,Felix Nmecha,Borussia Dortmund,MF,22,Barcelona,0.8664,1.0,0.9466,1,2025-12-15
7,Mason Greenwood,Marseille,"FW,MF",19,Barcelona,0.8594,1.0,0.9438,1,2025-12-15
8,Brahim Díaz,Real Madrid,"MF,FW",20,Barcelona,0.8593,1.0,0.9437,1,2025-12-15
9,Federico Chiesa,Liverpool,"MF,FW",23,Barcelona,0.8578,1.0,0.9431,1,2025-12-15
10,Christian Pulisic,Ac Milan,FW,19,Barcelona,0.8557,1.0,0.9423,1,2025-12-15
5,Pierre Kalulu,Juventus,DF,20,Real Madrid,0.9186,1.0,0.9674,0,2025-12-15
6,Youssouf Fofana,Ac Milan,MF,19,Real Madrid,0.9135,1.0,0.9654,0,2025-12-15
7,Warren Zaïre-Emery,Psg,"MF,DF",16,Real Madrid,0.9044,1.0,0.9618,0,2025-12-15
8,Rico Lewis,Manchester City,"DF,MF",18,Real Madrid,0.9036,1.0,0.9614,0,2025-12-15
9,Curtis Jones,Liverpool,MF,20,Real Madrid,0.887,1.0,0.9548,0,2025-12-15
