league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
ENG-Premier League,1920,Arsenal,713,0,541,418,37423,415.7,56,35,91,53,3,3,88,5,47.5,45.2,31.5,77.0,815,1641,1630,3.25,1.85,5.1,3.15,5.0,3.0300000000000002,2.07,5.14,2.95,5.0600000000000005
ENG-Premier League,1920,Aston Villa,722,0,531,418,37583,417.8,40,32,72,39,1,3,70,1,45.0,42.4,34.2,76.7,639,1247,1229,1.78,1.61,3.35,1.73,3.31,2.67,1.8499999999999999,4.53,2.58,4.42
ENG-Premier League,1920,Bournemouth,668,0,526,418,37466,416.1,38,24,62,34,4,4,78,3,45.8,42.7,31.2,73.9,601,1256,1238,2.15,1.02,3.18,1.8800000000000001,2.91,4.18,1.82,5.9799999999999995,3.97,5.78
ENG-Premier League,1920,Brighton,639,0,546,418,37503,416.8,35,24,59,34,1,2,59,2,46.2,44.6,32.0,76.60000000000001,669,1675,1661,3.22,1.19,4.44,3.18,4.41,3.22,2.2600000000000002,5.46,3.16,5.41
ENG-Premier League,1920,Burnley,603,0,492,418,37620,417.9,41,30,71,38,3,3,67,0,48.6,46.2,33.0,79.4,437,890,882,2.12,1.58,3.72,1.96,3.58,2.59,1.43,4.0,2.48,3.89
ENG-Premier League,1920,Chelsea,651,0,535,418,37620,418.0,69,46,115,62,7,7,60,0,71.6,66.2,46.8,113.19999999999999,983,1897,1880,3.88,3.16,7.0200000000000005,3.63,6.7700000000000005,4.95,2.8200000000000003,7.75,4.76,7.55
ENG-Premier League,1920,Crystal Palace,685,0,516,418,37547,417.4,29,20,49,26,3,3,62,2,36.3,34.0,26.0,60.0,596,1223,1208,2.61,1.78,4.34,2.5,4.23,3.08,2.54,5.61,2.99,5.53
ENG-Premier League,1920,Everton,605,0,538,418,37550,417.0,42,32,74,41,1,1,76,3,53.1,52.3,39.1,91.0,623,1430,1421,2.02,1.68,3.6999999999999997,1.99,3.66,2.7,2.07,4.77,2.67,4.74
ENG-Premier League,1920,Leicester City,609,0,530,418,37580,417.5,65,48,113,60,5,7,43,3,63.0,57.5,45.3,102.8,739,1612,1601,2.9,2.95,5.84,2.73,5.67,4.28,2.4699999999999998,6.77,4.01,6.51
ENG-Premier League,1920,Liverpool,613,0,545,418,37605,418.1,83,69,152,78,5,5,38,1,69.7,65.7,53.1,119.0,967,1941,1925,4.84,2.9699999999999998,7.81,4.56,7.52,3.81,2.3200000000000003,6.11,3.59,5.890000000000001
ENG-Premier League,1920,Manchester City,617,0,538,418,37492,416.70000000000005,100,69,169,94,6,11,64,4,93.9,85.0,68.9,153.9,1199,2460,2453,4.71,3.01,7.72,4.42,7.44,5.6000000000000005,3.3,8.879999999999999,5.2,8.47
ENG-Premier League,1920,Manchester Utd,694,0,537,418,37620,418.2,65,43,108,55,10,14,73,0,62.9,51.800000000000004,38.7,90.5,926,1788,1779,3.15,2.24,5.38,2.63,4.86,5.38,2.81,8.2,4.84,7.67
ENG-Premier League,1920,Newcastle Utd,722,0,536,418,37562,417.2,38,29,67,38,0,1,66,3,36.5,35.7,26.9,62.7,537,844,826,2.75,2.1,4.86,2.75,4.86,2.33,1.73,4.0600000000000005,2.27,4.0
ENG-Premier League,1920,Norwich City,758,0,544,418,37503,416.8,25,18,43,23,2,2,68,3,38.2,36.7,27.6,64.3,673,1169,1159,2.97,0.71,3.68,2.91,3.61,3.76,1.5,5.26,3.71,5.21
ENG-Premier League,1920,Sheffield Utd,698,0,528,418,37573,417.6,36,25,61,35,1,1,63,2,44.3,43.5,34.3,78.0,493,1352,1334,1.84,1.25,3.09,1.81,3.06,3.96,1.72,5.66,3.94,5.64
ENG-Premier League,1920,Southampton,605,0,529,418,37454,416.3,51,32,83,49,2,5,55,4,57.4,53.4,37.3,90.60000000000001,628,1335,1308,2.44,2.47,4.94,2.38,4.88,4.25,2.2600000000000002,6.5,4.14,6.39
ENG-Premier League,1920,Tottenham,713,0,531,418,37519,416.9,56,39,95,53,3,4,84,3,48.900000000000006,45.6,32.9,78.60000000000001,768,1410,1398,2.66,1.8900000000000001,4.57,2.54,4.46,3.47,1.83,5.32,3.35,5.2
ENG-Premier League,1920,Watford,708,0,531,418,37540,416.9,35,21,56,28,7,8,80,3,49.4,43.1,31.9,74.8,578,1168,1152,1.78,1.0,2.8,1.49,2.49,3.17,1.6600000000000001,4.84,2.91,4.57
ENG-Premier League,1920,West Ham,784,0,525,418,37596,417.7,49,36,85,45,4,4,64,1,49.7,46.6,37.6,83.9,667,1377,1370,3.38,1.98,5.37,3.23,5.21,3.62,2.18,5.81,3.5,5.69
ENG-Premier League,1920,Wolves,512,0,515,418,37601,417.8,49,34,83,45,4,4,61,2,55.00000000000001,51.800000000000004,38.0,89.69999999999999,858,1338,1320,2.58,1.28,3.85,2.47,3.7399999999999998,2.98,2.57,5.5600000000000005,2.89,5.48
ENG-Premier League,2021,Arsenal,724,0,532,418,37453,416.0,53,38,91,47,6,6,49,5,53.1,48.3,35.4,83.6,758,1760,1748,3.09,2.49,5.55,2.81,5.28,3.35,2.3,5.67,3.13,5.45
ENG-Premier League,2021,Aston Villa,583,0,509,418,37532,417.09999999999997,52,38,90,47,5,6,71,4,53.7,49.1,37.800000000000004,87.1,629,1420,1403,2.85,2.03,4.87,2.59,4.62,3.45,2.05,5.51,3.24,5.29
ENG-Premier League,2021,Brighton,663,0,526,418,37576,417.7,39,24,63,33,6,9,49,6,51.7,44.6,33.5,77.9,685,1516,1495,1.89,2.07,3.96,1.67,3.74,3.61,2.37,5.96,3.33,5.69
ENG-Premier League,2021,Burnley,676,0,499,418,37620,418.0,32,20,52,29,3,3,48,0,39.9,37.5,27.9,65.3,389,1012,1002,1.6800000000000002,0.86,2.5300000000000002,1.56,2.41,2.14,1.1099999999999999,3.26,2.04,3.15
ENG-Premier League,2021,Chelsea,691,0,526,418,37510,416.8,56,38,94,48,8,10,51,3,63.2,55.3,41.9,97.1,895,1798,1787,3.23,1.82,5.01,2.89,4.66,3.59,2.35,5.91,3.24,5.57
ENG-Premier League,2021,Crystal Palace,680,0,513,418,37594,417.7,39,29,68,36,3,4,56,2,34.7,31.5,23.8,55.1,526,1132,1113,2.23,1.4000000000000001,3.64,2.12,3.5300000000000002,1.78,1.23,3.04,1.66,2.92
ENG-Premier League,2021,Everton,737,0,524,418,37600,417.5,45,32,77,41,4,5,59,2,46.9,42.900000000000006,30.9,73.6,604,1184,1177,1.82,1.34,3.16,1.6700000000000002,3.0100000000000002,2.41,1.53,3.9499999999999997,2.25,3.8
ENG-Premier League,2021,Fulham,701,0,528,418,37541,417.1,26,18,44,23,3,6,67,3,41.2,36.4,26.1,62.6,727,1354,1338,1.75,0.8200000000000001,2.59,1.54,2.37,2.94,1.5,4.42,2.65,4.16
ENG-Premier League,2021,Leeds United,583,0,525,418,37574,417.5,60,45,105,56,4,4,61,1,56.300000000000004,53.1,42.0,95.6,811,1633,1625,2.39,2.14,4.55,2.26,4.41,2.6100000000000003,2.09,4.7,2.5,4.6
ENG-Premier League,2021,Leicester City,691,0,517,418,37620,418.0,64,45,109,54,10,12,61,0,56.699999999999996,47.2,34.0,81.1,666,1464,1455,3.0,2.5700000000000003,5.54,2.69,5.23,3.3000000000000003,2.31,5.6,2.99,5.28
ENG-Premier League,2021,Liverpool,716,0,522,418,37620,418.2,65,43,108,59,6,6,40,0,68.9,64.2,48.8,112.89999999999999,886,2057,2041,3.4699999999999998,2.27,5.74,3.3,5.56,3.8600000000000003,2.48,6.36,3.73,6.22
ENG-Premier League,2021,Manchester City,617,0,495,418,37492,416.5,82,55,137,77,5,9,46,2,69.8,62.6,45.6,108.0,1096,2051,2033,4.44,2.68,7.11,4.1,6.77,3.71,2.23,5.98,3.22,5.5
ENG-Premier League,2021,Manchester Utd,692,0,517,418,37557,417.3,70,51,121,60,10,11,64,1,61.4,52.6,41.9,94.9,877,1832,1817,3.86,3.06,6.93,3.42,6.49,3.32,2.59,5.890000000000001,2.95,5.5200000000000005
ENG-Premier League,2021,Newcastle Utd,704,0,527,418,37520,416.9,44,26,70,38,6,7,65,3,44.300000000000004,38.7,29.1,67.7,467,903,888,2.81,1.52,4.32,2.5300000000000002,4.04,2.88,1.69,4.58,2.5700000000000003,4.27
ENG-Premier League,2021,Sheffield Utd,669,0,521,418,37456,416.0,19,13,32,16,3,4,73,3,33.1,30.0,24.9,55.1,491,1196,1183,1.52,0.6,2.12,1.19,1.79,3.42,1.42,4.87,3.14,4.58
ENG-Premier League,2021,Southampton,700,0,519,418,37445,415.8,47,33,80,42,5,6,52,3,42.2,37.4,26.1,63.300000000000004,626,1195,1190,2.0300000000000002,1.31,3.3200000000000003,1.86,3.17,2.17,1.41,3.57,2.03,3.43
ENG-Premier League,2021,Tottenham,615,0,530,418,37604,417.7,66,50,116,61,5,5,57,2,54.0,50.0,35.5,85.8,633,1330,1316,3.35,2.34,5.68,3.2,5.53,3.11,1.9,4.98,2.99,4.87
ENG-Premier League,2021,West Brom,803,0,522,418,37401,415.3,33,20,53,29,4,4,51,4,36.6,33.5,24.6,57.9,441,1027,1017,1.73,1.39,3.13,1.59,2.99,2.62,1.4200000000000002,4.06,2.51,3.9499999999999997
ENG-Premier League,2021,West Ham,660,0,517,418,37554,417.3,60,46,106,58,2,4,50,3,57.199999999999996,53.9,40.4,94.1,659,1282,1264,3.1,2.43,5.5200000000000005,3.0100000000000002,5.43,2.78,2.22,5.0,2.62,4.84
ENG-Premier League,2021,Wolves,660,0,524,418,37619,417.8,34,21,55,30,4,4,55,1,37.6,34.4,24.1,59.0,800,1283,1266,1.94,1.52,3.46,1.78,3.29,2.58,1.73,4.29,2.44,4.16
ENG-Premier League,2122,Arsenal,662,0,528,418,37452,416.2,60,41,101,55,5,8,67,4,63.6,57.199999999999996,40.5,97.7,734,1655,1642,3.12,2.1999999999999997,5.3100000000000005,2.9099999999999997,5.09,4.09,2.46,6.6,3.74,6.25
ENG-Premier League,2122,Aston Villa,775,0,531,418,37575,417.3,50,42,92,47,3,3,81,2,44.7,42.5,35.3,77.7,653,1300,1293,2.54,2.49,5.04,2.22,4.72,3.1,1.9100000000000001,5.0,2.86,4.76
ENG-Premier League,2122,Brentford,702,0,532,418,37502,416.7,46,32,78,40,6,6,65,3,46.9,42.1,33.5,75.6,450,1189,1170,2.23,1.96,4.21,2.05,4.02,2.41,2.37,4.78,2.2600000000000002,4.640000000000001
ENG-Premier League,2122,Brighton,643,0,529,418,37582,417.6,40,30,70,36,4,7,72,2,47.6,42.0,32.6,74.7,676,1547,1529,1.98,1.65,3.61,1.82,3.45,3.24,1.63,4.86,3.0100000000000002,4.63
ENG-Premier League,2122,Burnley,666,0,514,418,37618,417.9,32,26,58,31,1,2,68,2,41.2,39.7,31.4,71.1,388,972,958,1.9100000000000001,1.52,3.43,1.8,3.32,2.61,1.69,4.3,2.48,4.18
