league,season,team,age,Playing Time_born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
ENG-Premier League,0001,Arsenal,698,0,502,418,37593,418.0,61,48,109,60,1,2,49,3,0.0,0.0,0.0,0.0,0,0,0,4.7299999999999995,2.29,7.01,4.699999999999999,6.9799999999999995,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Aston Villa,605,0,494,418,37606,418.0,46,33,79,45,1,1,65,3,0.0,0.0,0.0,0.0,0,0,0,2.91,1.57,4.49,2.8800000000000003,4.45,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Bradford City,859,0,494,418,37614,417.9,30,21,51,27,3,5,58,1,0.0,0.0,0.0,0.0,0,0,0,1.87,1.19,3.06,1.66,2.85,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Charlton Ath,697,0,525,418,37488,416.5,47,32,79,44,3,3,47,3,0.0,0.0,0.0,0.0,0,0,0,2.79,2.17,5.0,2.7,4.91,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Chelsea,726,0,523,418,37556,417.5,67,50,117,63,4,4,77,2,0.0,0.0,0.0,0.0,0,0,0,3.1999999999999997,2.6100000000000003,5.8100000000000005,3.08,5.69,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Coventry City,694,0,499,418,37506,416.5,33,21,54,30,3,3,75,4,0.0,0.0,0.0,0.0,0,0,0,1.99,0.99,2.96,1.87,2.8400000000000003,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Derby County,783,0,515,418,37612,417.9,37,28,65,35,2,3,80,3,0.0,0.0,0.0,0.0,0,0,0,2.64,1.83,4.44,2.46,4.2700000000000005,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Everton,790,0,512,418,37610,418.1,45,23,68,40,5,7,78,4,0.0,0.0,0.0,0.0,0,0,0,3.1,1.46,4.53,2.88,4.3100000000000005,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Ipswich Town,588,0,500,418,37635,418.2,56,40,96,53,3,3,32,2,0.0,0.0,0.0,0.0,0,0,0,2.9899999999999998,2.39,5.39,2.9,5.3,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,0001,Leeds United,610,0,476,418,37541,417.0,63,42,105,60,3,4,75,3,0.0,0.0,0.0,0.0,0,0,0,2.69,2.25,4.94,2.53,4.79,0.0,0.0,0.0,0.0,0.0
