team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
AC Milan,2025-2026,2025,Mike Maignan,,16,,,€25.00m,https://www.transfermarkt.com/mike-maignan/profil/spieler/182906,2025-12-15,25.0
AC Milan,2025-2026,2025,Pietro Terracciano,,1,,,€1.00m,https://www.transfermarkt.com/pietro-terracciano/profil/spieler/96254,2025-12-15,1.0
AC Milan,2025-2026,2025,Lorenzo Torriani,,96,,,€500k,https://www.transfermarkt.com/lorenzo-torriani/profil/spieler/939745,2025-12-15,0.5
AC Milan,2025-2026,2025,Koni De Winter,,5,,,€22.00m,https://www.transfermarkt.com/koni-de-winter/profil/spieler/490384,2025-12-15,22.0
AC Milan,2025-2026,2025,Fikayo Tomori,,23,,,€20.00m,https://www.transfermarkt.com/fikayo-tomori/profil/spieler/303254,2025-12-15,20.0
AC Milan,2025-2026,2025,Strahinja Pavlović,,31,,,€18.00m,https://www.transfermarkt.com/strahinja-pavlovic/profil/spieler/574671,2025-12-15,18.0
AC Milan,2025-2026,2025,Matteo Gabbia,,46,,,€16.00m,https://www.transfermarkt.com/matteo-gabbia/profil/spieler/323167,2025-12-15,16.0
AC Milan,2025-2026,2025,David Odogu,,27,,,€5.00m,https://www.transfermarkt.com/david-odogu/profil/spieler/897423,2025-12-15,5.0
AC Milan,2025-2026,2025,Pervis Estupiñán,,2,,,€22.00m,https://www.transfermarkt.com/pervis-estupinan/profil/spieler/349599,2025-12-15,22.0
AC Milan,2025-2026,2025,Davide Bartesaghi,,33,,,€3.00m,https://www.transfermarkt.com/davide-bartesaghi/profil/spieler/887638,2025-12-15,3.0
AC Milan,2025-2026,2025,Zachary Athekame,,24,,,€8.00m,https://www.transfermarkt.com/zachary-athekame/profil/spieler/990637,2025-12-15,8.0
AC Milan,2025-2026,2025,Ardon Jashari,,30,,,€32.00m,https://www.transfermarkt.com/ardon-jashari/profil/spieler/608172,2025-12-15,32.0
AC Milan,2025-2026,2025,Youssouf Fofana,,19,,,€30.00m,https://www.transfermarkt.com/youssouf-fofana/profil/spieler/569598,2025-12-15,30.0
AC Milan,2025-2026,2025,Samuele Ricci,,4,,,€25.00m,https://www.transfermarkt.com/samuele-ricci/profil/spieler/467992,2025-12-15,25.0
AC Milan,2025-2026,2025,Adrien Rabiot,,12,,,€20.00m,https://www.transfermarkt.com/adrien-rabiot/profil/spieler/182913,2025-12-15,20.0
AC Milan,2025-2026,2025,Ruben Loftus-Cheek,,8,,,€10.00m,https://www.transfermarkt.com/ruben-loftus-cheek/profil/spieler/202886,2025-12-15,10.0
AC Milan,2025-2026,2025,Luka Modrić,,14,,,€4.00m,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,2025-12-15,4.0
AC Milan,2025-2026,2025,Alexis Saelemaekers,,56,,,€20.00m,https://www.transfermarkt.com/alexis-saelemaekers/profil/spieler/381950,2025-12-15,20.0
AC Milan,2025-2026,2025,Rafael Leão,,10,,,€70.00m,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164,2025-12-15,70.0
AC Milan,2025-2026,2025,Christian Pulisic,,11,,,€60.00m,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779,2025-12-15,60.0
AC Milan,2025-2026,2025,Christopher Nkunku,,18,,,€35.00m,https://www.transfermarkt.com/christopher-nkunku/profil/spieler/344381,2025-12-15,35.0
AC Milan,2025-2026,2025,Santiago Gimenez,,7,,,€25.00m,https://www.transfermarkt.com/santiago-gimenez/profil/spieler/552955,2025-12-15,25.0
