team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Arsenal,2023-2024,2023,David Raya,,22,,,€35.00m,https://www.transfermarkt.com/david-raya/profil/spieler/262749,2025-12-15,35.0
Arsenal,2023-2024,2023,Aaron Ramsdale,,1,,,€25.00m,https://www.transfermarkt.com/aaron-ramsdale/profil/spieler/427568,2025-12-15,25.0
Arsenal,2023-2024,2023,Matt Turner,,-,,,€7.00m,https://www.transfermarkt.com/matt-turner/profil/spieler/425306,2025-12-15,7.0
Arsenal,2023-2024,2023,Karl Hein,,31,,,€2.00m,https://www.transfermarkt.com/karl-hein/profil/spieler/493513,2025-12-15,2.0
Arsenal,2023-2024,2023,Arthur Okonkwo,,-,,,€1.80m,https://www.transfermarkt.com/arthur-okonkwo/profil/spieler/503769,2025-12-15,1.8
Arsenal,2023-2024,2023,William Saliba,,2,,,€80.00m,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,2025-12-15,80.0
Arsenal,2023-2024,2023,Gabriel Magalhães,,6,,,€70.00m,https://www.transfermarkt.com/gabriel-magalhaes/profil/spieler/435338,2025-12-15,70.0
Arsenal,2023-2024,2023,Takehiro Tomiyasu,,18,,,€35.00m,https://www.transfermarkt.com/takehiro-tomiyasu/profil/spieler/331560,2025-12-15,35.0
Arsenal,2023-2024,2023,Jakub Kiwior,,15,,,€30.00m,https://www.transfermarkt.com/jakub-kiwior/profil/spieler/425918,2025-12-15,30.0
Arsenal,2023-2024,2023,Rob Holding,,-,,,€5.00m,https://www.transfermarkt.com/rob-holding/profil/spieler/253341,2025-12-15,5.0
Arsenal,2023-2024,2023,Ayden Heaven,,-,,,€300k,https://www.transfermarkt.com/ayden-heaven/profil/spieler/1078163,2025-12-15,0.3
Arsenal,2023-2024,2023,Oleksandr Zinchenko,,35,,,€38.00m,https://www.transfermarkt.com/oleksandr-zinchenko/profil/spieler/203853,2025-12-15,38.0
Arsenal,2023-2024,2023,Kieran Tierney,,-,,,€12.00m,https://www.transfermarkt.com/kieran-tierney/profil/spieler/300716,2025-12-15,12.0
Arsenal,2023-2024,2023,Lino Sousa,,-,,,€2.00m,https://www.transfermarkt.com/lino-sousa/profil/spieler/743414,2025-12-15,2.0
Arsenal,2023-2024,2023,Myles Lewis-Skelly,,-,,,€2.00m,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,2025-12-15,2.0
Arsenal,2023-2024,2023,Ben White,,4,,,€55.00m,https://www.transfermarkt.com/ben-white/profil/spieler/335721,2025-12-15,55.0
Arsenal,2023-2024,2023,Jurriën Timber,,12,,,€38.00m,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,2025-12-15,38.0
Arsenal,2023-2024,2023,Reuell Walters,,-,,,€4.00m,https://www.transfermarkt.com/reuell-walters/profil/spieler/878160,2025-12-15,4.0
Arsenal,2023-2024,2023,Cédric Soares,,17,,,€2.00m,https://www.transfermarkt.com/cedric-soares/profil/spieler/112988,2025-12-15,2.0
Arsenal,2023-2024,2023,James Sweet,,-,,,€250k,https://www.transfermarkt.com/james-sweet/profil/spieler/583952,2025-12-15,0.25
Arsenal,2023-2024,2023,Thomas Partey,,5,,,€18.00m,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,2025-12-15,18.0
Arsenal,2023-2024,2023,Jorginho,,20,,,€12.00m,https://www.transfermarkt.com/jorginho/profil/spieler/102017,2025-12-15,12.0
Arsenal,2023-2024,2023,Mohamed Elneny,,25,,,€3.50m,https://www.transfermarkt.com/mohamed-elneny/profil/spieler/160438,2025-12-15,3.5
Arsenal,2023-2024,2023,Bradley Ibrahim,,-,,,€400k,https://www.transfermarkt.com/bradley-ibrahim/profil/spieler/871837,2025-12-15,0.4
Arsenal,2023-2024,2023,Declan Rice,,41,,,€120.00m,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,2025-12-15,120.0
Arsenal,2023-2024,2023,Albert Sambi Lokonga,,-,,,€15.00m,https://www.transfermarkt.com/albert-sambi-lokonga/profil/spieler/381967,2025-12-15,15.0
Arsenal,2023-2024,2023,Mauro Bandeira,,-,,,€200k,https://www.transfermarkt.com/mauro-bandeira/profil/spieler/745846,2025-12-15,0.2
Arsenal,2023-2024,2023,Martin Ødegaard,,8,,,€110.00m,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,2025-12-15,110.0
Arsenal,2023-2024,2023,Emile Smith Rowe,,10,,,€22.00m,https://www.transfermarkt.com/emile-smith-rowe/profil/spieler/392765,2025-12-15,22.0
Arsenal,2023-2024,2023,Fábio Vieira,,21,,,€22.00m,https://www.transfermarkt.com/fabio-vieira/profil/spieler/537598,2025-12-15,22.0
Arsenal,2023-2024,2023,Ethan Nwaneri,,-,,,€8.00m,https://www.transfermarkt.com/ethan-nwaneri/profil/spieler/890719,2025-12-15,8.0
Arsenal,2023-2024,2023,Gabriel Martinelli,,11,,,€70.00m,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,2025-12-15,70.0
Arsenal,2023-2024,2023,Leandro Trossard,,19,,,€35.00m,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,2025-12-15,35.0
Arsenal,2023-2024,2023,Reiss Nelson,,24,,,€15.00m,https://www.transfermarkt.com/reiss-nelson/profil/spieler/340325,2025-12-15,15.0
Arsenal,2023-2024,2023,Charles Sagoe Jr,,-,,,€600k,https://www.transfermarkt.com/charles-sagoe-jr/profil/spieler/796037,2025-12-15,0.6
Arsenal,2023-2024,2023,Bukayo Saka,,7,,,€140.00m,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,2025-12-15,140.0
Arsenal,2023-2024,2023,Amario Cozier-Duberry,,-,,,€2.00m,https://www.transfermarkt.com/amario-cozier-duberry/profil/spieler/878150,2025-12-15,2.0
Arsenal,2023-2024,2023,Kai Havertz,,29,,,€70.00m,https://www.transfermarkt.com/kai-havertz/profil/spieler/309400,2025-12-15,70.0
Arsenal,2023-2024,2023,Gabriel Jesus,,9,,,€65.00m,https://www.transfermarkt.com/gabriel-jesus/profil/spieler/363205,2025-12-15,65.0
Arsenal,2023-2024,2023,Eddie Nketiah,,14,,,€30.00m,https://www.transfermarkt.com/eddie-nketiah/profil/spieler/340324,2025-12-15,30.0
