team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Atlético Madrid,2025-2026,2025,Jan Oblak,,13,,,€17.00m,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,2025-12-15,17.0
Atlético Madrid,2025-2026,2025,Juan Musso,,1,,,€3.00m,https://www.transfermarkt.com/juan-musso/profil/spieler/242359,2025-12-15,3.0
Atlético Madrid,2025-2026,2025,Dávid Hancko,,17,,,€30.00m,https://www.transfermarkt.com/david-hancko/profil/spieler/404418,2025-12-15,30.0
Atlético Madrid,2025-2026,2025,Robin Le Normand,,24,,,€30.00m,https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809,2025-12-15,30.0
Atlético Madrid,2025-2026,2025,José María Giménez,,2,,,€14.00m,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,2025-12-15,14.0
Atlético Madrid,2025-2026,2025,Clément Lenglet,,15,,,€6.00m,https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904,2025-12-15,6.0
Atlético Madrid,2025-2026,2025,Matteo Ruggeri,,3,,,€15.00m,https://www.transfermarkt.com/matteo-ruggeri/profil/spieler/616631,2025-12-15,15.0
Atlético Madrid,2025-2026,2025,Javi Galán,,21,,,€3.50m,https://www.transfermarkt.com/javi-galan/profil/spieler/448628,2025-12-15,3.5
Atlético Madrid,2025-2026,2025,Marcos Llorente,,14,,,€22.00m,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,2025-12-15,22.0
Atlético Madrid,2025-2026,2025,Nahuel Molina,,16,,,€15.00m,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042,2025-12-15,15.0
Atlético Madrid,2025-2026,2025,Marc Pubill,,18,,,€15.00m,https://www.transfermarkt.com/marc-pubill/profil/spieler/844637,2025-12-15,15.0
Atlético Madrid,2025-2026,2025,Johnny Cardoso,,5,,,€22.00m,https://www.transfermarkt.com/johnny-cardoso/profil/spieler/689505,2025-12-15,22.0
Atlético Madrid,2025-2026,2025,Pablo Barrios,,8,,,€60.00m,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605,2025-12-15,60.0
Atlético Madrid,2025-2026,2025,Conor Gallagher,,4,,,€35.00m,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362,2025-12-15,35.0
Atlético Madrid,2025-2026,2025,Koke,,6,,,€7.00m,https://www.transfermarkt.com/koke/profil/spieler/74229,2025-12-15,7.0
Atlético Madrid,2025-2026,2025,Álex Baena,,10,,,€55.00m,https://www.transfermarkt.com/alex-baena/profil/spieler/548111,2025-12-15,55.0
Atlético Madrid,2025-2026,2025,Nico González,,23,,,€24.00m,https://www.transfermarkt.com/nico-gonzalez/profil/spieler/486031,2025-12-15,24.0
Atlético Madrid,2025-2026,2025,Thiago Almada,,11,,,€20.00m,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028,2025-12-15,20.0
Atlético Madrid,2025-2026,2025,Carlos Martín,,12,,,€2.50m,https://www.transfermarkt.com/carlos-martin/profil/spieler/618813,2025-12-15,2.5
Atlético Madrid,2025-2026,2025,Giuliano Simeone,,20,,,€40.00m,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201,2025-12-15,40.0
Atlético Madrid,2025-2026,2025,Giacomo Raspadori,,22,,,€22.00m,https://www.transfermarkt.com/giacomo-raspadori/profil/spieler/405885,2025-12-15,22.0
Atlético Madrid,2025-2026,2025,Antoine Griezmann,,7,,,€11.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,2025-12-15,11.0
Atlético Madrid,2025-2026,2025,Julián Alvarez,,19,,,€100.00m,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,2025-12-15,100.0
Atlético Madrid,2025-2026,2025,Alexander Sørloth,,9,,,€20.00m,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407,2025-12-15,20.0
