team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Barcelona,2025-2026,2025,Joan García,,13,,,€30.00m,https://www.transfermarkt.com/joan-garcia/profil/spieler/561613,2025-12-15,30.0
Barcelona,2025-2026,2025,Marc-André ter Stegen,,1,,,€7.00m,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,2025-12-15,7.0
Barcelona,2025-2026,2025,Wojciech Szczesny,,25,,,€900k,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058,2025-12-15,0.9
Barcelona,2025-2026,2025,Pau Cubarsí,,5,,,€80.00m,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,2025-12-15,80.0
Barcelona,2025-2026,2025,Eric García,,24,,,€30.00m,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,2025-12-15,30.0
Barcelona,2025-2026,2025,Ronald Araujo,,4,,,€25.00m,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,2025-12-15,25.0
Barcelona,2025-2026,2025,Andreas Christensen,,15,,,€10.00m,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,2025-12-15,10.0
Barcelona,2025-2026,2025,Alejandro Balde,,3,,,€60.00m,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688,2025-12-15,60.0
Barcelona,2025-2026,2025,Gerard Martín,,18,,,€20.00m,https://www.transfermarkt.com/gerard-martin/profil/spieler/705395,2025-12-15,20.0
Barcelona,2025-2026,2025,Jules Koundé,,23,,,€65.00m,https://www.transfermarkt.com/jules-kounde/profil/spieler/411975,2025-12-15,65.0
Barcelona,2025-2026,2025,Marc Casadó,,17,,,€25.00m,https://www.transfermarkt.com/marc-casado/profil/spieler/636695,2025-12-15,25.0
Barcelona,2025-2026,2025,Marc Bernal,,22,,,€10.00m,https://www.transfermarkt.com/marc-bernal/profil/spieler/1018920,2025-12-15,10.0
Barcelona,2025-2026,2025,Pedri,,8,,,€140.00m,https://www.transfermarkt.com/pedri/profil/spieler/683840,2025-12-15,140.0
Barcelona,2025-2026,2025,Frenkie de Jong,,21,,,€45.00m,https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330,2025-12-15,45.0
Barcelona,2025-2026,2025,Gavi,,6,,,€40.00m,https://www.transfermarkt.com/gavi/profil/spieler/646740,2025-12-15,40.0
Barcelona,2025-2026,2025,Fermín López,,16,,,€70.00m,https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703,2025-12-15,70.0
Barcelona,2025-2026,2025,Dani Olmo,,20,,,€60.00m,https://www.transfermarkt.com/dani-olmo/profil/spieler/293385,2025-12-15,60.0
Barcelona,2025-2026,2025,Dro Fernández,,27,,,€10.00m,https://www.transfermarkt.com/dro-fernandez/profil/spieler/1071596,2025-12-15,10.0
Barcelona,2025-2026,2025,Raphinha,,11,,,€80.00m,https://www.transfermarkt.com/raphinha/profil/spieler/411295,2025-12-15,80.0
Barcelona,2025-2026,2025,Marcus Rashford,,14,,,€40.00m,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,2025-12-15,40.0
Barcelona,2025-2026,2025,Lamine Yamal,,10,,,€200.00m,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958,2025-12-15,200.0
Barcelona,2025-2026,2025,Roony Bardghji,,28,,,€10.00m,https://www.transfermarkt.com/roony-bardghji/profil/spieler/792331,2025-12-15,10.0
Barcelona,2025-2026,2025,Ferran Torres,,7,,,€50.00m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184,2025-12-15,50.0
Barcelona,2025-2026,2025,Robert Lewandowski,,9,,,€9.00m,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253,2025-12-15,9.0
