team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Borussia Dortmund,2025-2026,2025,Gregor Kobel,,1,,,€40.00m,https://www.transfermarkt.com/gregor-kobel/profil/spieler/257814,2025-12-15,40.0
Borussia Dortmund,2025-2026,2025,Alexander Meyer,,33,,,€800k,https://www.transfermarkt.com/alexander-meyer/profil/spieler/76158,2025-12-15,0.8
Borussia Dortmund,2025-2026,2025,Patrick Drewes,,30,,,€500k,https://www.transfermarkt.com/patrick-drewes/profil/spieler/94192,2025-12-15,0.5
Borussia Dortmund,2025-2026,2025,Silas Ostrzinski,,31,,,€200k,https://www.transfermarkt.com/silas-ostrzinski/profil/spieler/684116,2025-12-15,0.2
Borussia Dortmund,2025-2026,2025,Nico Schlotterbeck,,4,,,€40.00m,https://www.transfermarkt.com/nico-schlotterbeck/profil/spieler/388198,2025-12-15,40.0
Borussia Dortmund,2025-2026,2025,Waldemar Anton,,3,,,€18.00m,https://www.transfermarkt.com/waldemar-anton/profil/spieler/193004,2025-12-15,18.0
Borussia Dortmund,2025-2026,2025,Niklas Süle,,25,,,€8.00m,https://www.transfermarkt.com/niklas-sule/profil/spieler/166601,2025-12-15,8.0
Borussia Dortmund,2025-2026,2025,Aarón Anselmino,,28,,,€8.00m,https://www.transfermarkt.com/aaron-anselmino/profil/spieler/1145504,2025-12-15,8.0
Borussia Dortmund,2025-2026,2025,Ramy Bensebaini,,5,,,€7.00m,https://www.transfermarkt.com/ramy-bensebaini/profil/spieler/284732,2025-12-15,7.0
Borussia Dortmund,2025-2026,2025,Emre Can,,23,,,€7.00m,https://www.transfermarkt.com/emre-can/profil/spieler/119296,2025-12-15,7.0
Borussia Dortmund,2025-2026,2025,Filippo Mane,,39,,,€2.50m,https://www.transfermarkt.com/filippo-mane/profil/spieler/883007,2025-12-15,2.5
Borussia Dortmund,2025-2026,2025,Daniel Svensson,,24,,,€22.00m,https://www.transfermarkt.com/daniel-svensson/profil/spieler/579287,2025-12-15,22.0
Borussia Dortmund,2025-2026,2025,Almugera Kabar,,42,,,€3.00m,https://www.transfermarkt.com/almugera-kabar/profil/spieler/884820,2025-12-15,3.0
Borussia Dortmund,2025-2026,2025,Julian Ryerson,,26,,,€20.00m,https://www.transfermarkt.com/julian-ryerson/profil/spieler/370789,2025-12-15,20.0
Borussia Dortmund,2025-2026,2025,Salih Özcan,,6,,,€4.00m,https://www.transfermarkt.com/salih-ozcan/profil/spieler/244940,2025-12-15,4.0
Borussia Dortmund,2025-2026,2025,Felix Nmecha,,8,,,€35.00m,https://www.transfermarkt.com/felix-nmecha/profil/spieler/406640,2025-12-15,35.0
Borussia Dortmund,2025-2026,2025,Jobe Bellingham,,7,,,€30.00m,https://www.transfermarkt.com/jobe-bellingham/profil/spieler/796297,2025-12-15,30.0
Borussia Dortmund,2025-2026,2025,Carney Chukwuemeka,,17,,,€20.00m,https://www.transfermarkt.com/carney-chukwuemeka/profil/spieler/659459,2025-12-15,20.0
Borussia Dortmund,2025-2026,2025,Marcel Sabitzer,,20,,,€8.00m,https://www.transfermarkt.com/marcel-sabitzer/profil/spieler/106987,2025-12-15,8.0
Borussia Dortmund,2025-2026,2025,Pascal Groß,,13,,,€5.00m,https://www.transfermarkt.com/pascal-gross/profil/spieler/82873,2025-12-15,5.0
Borussia Dortmund,2025-2026,2025,Yan Couto,,2,,,€20.00m,https://www.transfermarkt.com/yan-couto/profil/spieler/627228,2025-12-15,20.0
Borussia Dortmund,2025-2026,2025,Julian Brandt,,10,,,€25.00m,https://www.transfermarkt.com/julian-brandt/profil/spieler/187492,2025-12-15,25.0
Borussia Dortmund,2025-2026,2025,Julien Duranville,,16,,,€8.50m,https://www.transfermarkt.com/julien-duranville/profil/spieler/819215,2025-12-15,8.5
Borussia Dortmund,2025-2026,2025,Karim Adeyemi,,27,,,€60.00m,https://www.transfermarkt.com/karim-adeyemi/profil/spieler/496094,2025-12-15,60.0
Borussia Dortmund,2025-2026,2025,Cole Campbell,,37,,,€5.00m,https://www.transfermarkt.com/cole-campbell/profil/spieler/866579,2025-12-15,5.0
Borussia Dortmund,2025-2026,2025,Serhou Guirassy,,9,,,€45.00m,https://www.transfermarkt.com/serhou-guirassy/profil/spieler/270541,2025-12-15,45.0
Borussia Dortmund,2025-2026,2025,Maximilian Beier,,14,,,€30.00m,https://www.transfermarkt.com/maximilian-beier/profil/spieler/578392,2025-12-15,30.0
Borussia Dortmund,2025-2026,2025,Fábio Silva,,21,,,€28.00m,https://www.transfermarkt.com/fabio-silva/profil/spieler/505653,2025-12-15,28.0
