team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Inter,2025-2026,2025,Josep Martínez,,13,,,€12.00m,https://www.transfermarkt.com/josep-martinez/profil/spieler/388516,2025-12-15,12.0
Inter,2025-2026,2025,Yann Sommer,,1,,,€4.00m,https://www.transfermarkt.com/yann-sommer/profil/spieler/42205,2025-12-15,4.0
Inter,2025-2026,2025,Raffaele Di Gennaro,,12,,,€300k,https://www.transfermarkt.com/raffaele-di-gennaro/profil/spieler/70580,2025-12-15,0.3
Inter,2025-2026,2025,Alessandro Bastoni,,95,,,€80.00m,https://www.transfermarkt.com/alessandro-bastoni/profil/spieler/315853,2025-12-15,80.0
Inter,2025-2026,2025,Yann Bisseck,,31,,,€35.00m,https://www.transfermarkt.com/yann-bisseck/profil/spieler/441986,2025-12-15,35.0
Inter,2025-2026,2025,Manuel Akanji,,25,,,€22.00m,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,2025-12-15,22.0
Inter,2025-2026,2025,Stefan de Vrij,,6,,,€5.00m,https://www.transfermarkt.com/stefan-de-vrij/profil/spieler/111196,2025-12-15,5.0
Inter,2025-2026,2025,Tomás Palacios,,42,,,€4.00m,https://www.transfermarkt.com/tomas-palacios/profil/spieler/993645,2025-12-15,4.0
Inter,2025-2026,2025,Francesco Acerbi,,15,,,€3.00m,https://www.transfermarkt.com/francesco-acerbi/profil/spieler/131075,2025-12-15,3.0
Inter,2025-2026,2025,Federico Dimarco,,32,,,€50.00m,https://www.transfermarkt.com/federico-dimarco/profil/spieler/198116,2025-12-15,50.0
Inter,2025-2026,2025,Carlos Augusto,,30,,,€26.00m,https://www.transfermarkt.com/carlos-augusto/profil/spieler/585982,2025-12-15,26.0
Inter,2025-2026,2025,Denzel Dumfries,,2,,,€35.00m,https://www.transfermarkt.com/denzel-dumfries/profil/spieler/321528,2025-12-15,35.0
Inter,2025-2026,2025,Matteo Darmian,,36,,,€2.50m,https://www.transfermarkt.com/matteo-darmian/profil/spieler/54906,2025-12-15,2.5
Inter,2025-2026,2025,Hakan Çalhanoğlu,,20,,,€25.00m,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414,2025-12-15,25.0
Inter,2025-2026,2025,Nicolò Barella,,23,,,€65.00m,https://www.transfermarkt.com/nicolo-barella/profil/spieler/255942,2025-12-15,65.0
Inter,2025-2026,2025,Davide Frattesi,,16,,,€35.00m,https://www.transfermarkt.com/davide-frattesi/profil/spieler/394300,2025-12-15,35.0
Inter,2025-2026,2025,Petar Sučić,,8,,,€20.00m,https://www.transfermarkt.com/petar-sucic/profil/spieler/668207,2025-12-15,20.0
Inter,2025-2026,2025,Andy Diouf,,17,,,€18.00m,https://www.transfermarkt.com/andy-diouf/profil/spieler/711976,2025-12-15,18.0
Inter,2025-2026,2025,Piotr Zieliński,,7,,,€10.00m,https://www.transfermarkt.com/piotr-zielinski/profil/spieler/181136,2025-12-15,10.0
Inter,2025-2026,2025,Henrikh Mkhitaryan,,22,,,€4.00m,https://www.transfermarkt.com/henrikh-mkhitaryan/profil/spieler/55735,2025-12-15,4.0
Inter,2025-2026,2025,Luis Henrique,,11,,,€25.00m,https://www.transfermarkt.com/luis-henrique/profil/spieler/691316,2025-12-15,25.0
Inter,2025-2026,2025,Lautaro Martínez,,10,,,€85.00m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625,2025-12-15,85.0
Inter,2025-2026,2025,Marcus Thuram,,9,,,€75.00m,https://www.transfermarkt.com/marcus-thuram/profil/spieler/318528,2025-12-15,75.0
Inter,2025-2026,2025,Pio Esposito,,94,,,€30.00m,https://www.transfermarkt.com/pio-esposito/profil/spieler/930781,2025-12-15,30.0
Inter,2025-2026,2025,Ange-Yoan Bonny,,14,,,€23.00m,https://www.transfermarkt.com/ange-yoan-bonny/profil/spieler/827734,2025-12-15,23.0
