team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Juventus,2025-2026,2025,Michele Di Gregorio,,16,,,€18.00m,https://www.transfermarkt.com/michele-di-gregorio/profil/spieler/301238,2025-12-15,18.0
Juventus,2025-2026,2025,Mattia Perin,,1,,,€2.50m,https://www.transfermarkt.com/mattia-perin/profil/spieler/110923,2025-12-15,2.5
Juventus,2025-2026,2025,Carlo Pinsoglio,,23,,,€200k,https://www.transfermarkt.com/carlo-pinsoglio/profil/spieler/75411,2025-12-15,0.2
Juventus,2025-2026,2025,Bremer,,3,,,€50.00m,https://www.transfermarkt.com/bremer/profil/spieler/516716,2025-12-15,50.0
Juventus,2025-2026,2025,Pierre Kalulu,,15,,,€28.00m,https://www.transfermarkt.com/pierre-kalulu/profil/spieler/585949,2025-12-15,28.0
Juventus,2025-2026,2025,Federico Gatti,,4,,,€24.00m,https://www.transfermarkt.com/federico-gatti/profil/spieler/509022,2025-12-15,24.0
Juventus,2025-2026,2025,Lloyd Kelly,,6,,,€18.00m,https://www.transfermarkt.com/lloyd-kelly/profil/spieler/480116,2025-12-15,18.0
Juventus,2025-2026,2025,Daniele Rugani,,24,,,€2.00m,https://www.transfermarkt.com/daniele-rugani/profil/spieler/162959,2025-12-15,2.0
Juventus,2025-2026,2025,Juan Cabal,,32,,,€9.00m,https://www.transfermarkt.com/juan-cabal/profil/spieler/686965,2025-12-15,9.0
Juventus,2025-2026,2025,Jonas Rouhi,,40,,,€2.00m,https://www.transfermarkt.com/jonas-rouhi/profil/spieler/741090,2025-12-15,2.0
Juventus,2025-2026,2025,Manuel Locatelli,,5,,,€30.00m,https://www.transfermarkt.com/manuel-locatelli/profil/spieler/265088,2025-12-15,30.0
Juventus,2025-2026,2025,Khéphren Thuram,,19,,,€40.00m,https://www.transfermarkt.com/khephren-thuram/profil/spieler/463618,2025-12-15,40.0
Juventus,2025-2026,2025,Weston McKennie,,22,,,€22.00m,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697,2025-12-15,22.0
Juventus,2025-2026,2025,Fabio Miretti,,21,,,€14.00m,https://www.transfermarkt.com/fabio-miretti/profil/spieler/571607,2025-12-15,14.0
Juventus,2025-2026,2025,João Mário,,25,,,€10.00m,https://www.transfermarkt.com/joao-mario/profil/spieler/537602,2025-12-15,10.0
Juventus,2025-2026,2025,Andrea Cambiaso,,27,,,€35.00m,https://www.transfermarkt.com/andrea-cambiaso/profil/spieler/459658,2025-12-15,35.0
Juventus,2025-2026,2025,Filip Kostić,,18,,,€3.50m,https://www.transfermarkt.com/filip-kostic/profil/spieler/161011,2025-12-15,3.5
Juventus,2025-2026,2025,Teun Koopmeiners,,8,,,€30.00m,https://www.transfermarkt.com/teun-koopmeiners/profil/spieler/360518,2025-12-15,30.0
Juventus,2025-2026,2025,Vasilije Adžić,,17,,,€8.00m,https://www.transfermarkt.com/vasilije-adzic/profil/spieler/944570,2025-12-15,8.0
Juventus,2025-2026,2025,Kenan Yıldız,,10,,,€75.00m,https://www.transfermarkt.com/kenan-yildiz/profil/spieler/845654,2025-12-15,75.0
Juventus,2025-2026,2025,Francisco Conceição,,7,,,€30.00m,https://www.transfermarkt.com/francisco-conceicao/profil/spieler/487474,2025-12-15,30.0
Juventus,2025-2026,2025,Edon Zhegrova,,11,,,€25.00m,https://www.transfermarkt.com/edon-zhegrova/profil/spieler/496857,2025-12-15,25.0
Juventus,2025-2026,2025,Loïs Openda,,20,,,€45.00m,https://www.transfermarkt.com/lois-openda/profil/spieler/368887,2025-12-15,45.0
Juventus,2025-2026,2025,Jonathan David,,30,,,€45.00m,https://www.transfermarkt.com/jonathan-david/profil/spieler/533738,2025-12-15,45.0
Juventus,2025-2026,2025,Dušan Vlahović,,9,,,€35.00m,https://www.transfermarkt.com/dusan-vlahovic/profil/spieler/357498,2025-12-15,35.0
Juventus,2025-2026,2025,Arkadiusz Milik,,14,,,€1.50m,https://www.transfermarkt.com/arkadiusz-milik/profil/spieler/191891,2025-12-15,1.5
