team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Liverpool,2025-2026,2025,Giorgi Mamardashvili,,25,,,€28.00m,https://www.transfermarkt.com/giorgi-mamardashvili/profil/spieler/502676,2025-12-15,28.0
Liverpool,2025-2026,2025,Alisson,,1,,,€17.00m,https://www.transfermarkt.com/alisson/profil/spieler/105470,2025-12-15,17.0
Liverpool,2025-2026,2025,Freddie Woodman,,28,,,€3.00m,https://www.transfermarkt.com/freddie-woodman/profil/spieler/226049,2025-12-15,3.0
Liverpool,2025-2026,2025,Ibrahima Konaté,,5,,,€50.00m,https://www.transfermarkt.com/ibrahima-konate/profil/spieler/357119,2025-12-15,50.0
Liverpool,2025-2026,2025,Giovanni Leoni,,15,,,€25.00m,https://www.transfermarkt.com/giovanni-leoni/profil/spieler/1086619,2025-12-15,25.0
Liverpool,2025-2026,2025,Virgil van Dijk,,4,,,€18.00m,https://www.transfermarkt.com/virgil-van-dijk/profil/spieler/139208,2025-12-15,18.0
Liverpool,2025-2026,2025,Joe Gomez,,2,,,€15.00m,https://www.transfermarkt.com/joe-gomez/profil/spieler/256178,2025-12-15,15.0
Liverpool,2025-2026,2025,Rhys Williams,,46,,,€500k,https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,2025-12-15,0.5
Liverpool,2025-2026,2025,Milos Kerkez,,6,,,€40.00m,https://www.transfermarkt.com/milos-kerkez/profil/spieler/730861,2025-12-15,40.0
Liverpool,2025-2026,2025,Andrew Robertson,,26,,,€12.00m,https://www.transfermarkt.com/andrew-robertson/profil/spieler/234803,2025-12-15,12.0
Liverpool,2025-2026,2025,Jeremie Frimpong,,30,,,€38.00m,https://www.transfermarkt.com/jeremie-frimpong/profil/spieler/484547,2025-12-15,38.0
Liverpool,2025-2026,2025,Conor Bradley,,12,,,€30.00m,https://www.transfermarkt.com/conor-bradley/profil/spieler/624258,2025-12-15,30.0
Liverpool,2025-2026,2025,Ryan Gravenberch,,38,,,€90.00m,https://www.transfermarkt.com/ryan-gravenberch/profil/spieler/478573,2025-12-15,90.0
Liverpool,2025-2026,2025,Stefan Bajcetic,,43,,,€7.00m,https://www.transfermarkt.com/stefan-bajcetic/profil/spieler/864799,2025-12-15,7.0
Liverpool,2025-2026,2025,Wataru Endo,,3,,,€5.00m,https://www.transfermarkt.com/wataru-endo/profil/spieler/146310,2025-12-15,5.0
Liverpool,2025-2026,2025,Alexis Mac Allister,,10,,,€85.00m,https://www.transfermarkt.com/alexis-mac-allister/profil/spieler/534033,2025-12-15,85.0
Liverpool,2025-2026,2025,Curtis Jones,,17,,,€40.00m,https://www.transfermarkt.com/curtis-jones/profil/spieler/433188,2025-12-15,40.0
Liverpool,2025-2026,2025,Trey Nyoni,,42,,,€6.00m,https://www.transfermarkt.com/trey-nyoni/profil/spieler/1045123,2025-12-15,6.0
Liverpool,2025-2026,2025,Florian Wirtz,,7,,,€110.00m,https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577,2025-12-15,110.0
Liverpool,2025-2026,2025,Dominik Szoboszlai,,8,,,€85.00m,https://www.transfermarkt.com/dominik-szoboszlai/profil/spieler/451276,2025-12-15,85.0
Liverpool,2025-2026,2025,Cody Gakpo,,18,,,€70.00m,https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675,2025-12-15,70.0
Liverpool,2025-2026,2025,Rio Ngumoha,,73,,,€15.00m,https://www.transfermarkt.com/rio-ngumoha/profil/spieler/1108466,2025-12-15,15.0
Liverpool,2025-2026,2025,Mohamed Salah,,11,,,€30.00m,https://www.transfermarkt.com/mohamed-salah/profil/spieler/148455,2025-12-15,30.0
Liverpool,2025-2026,2025,Federico Chiesa,,14,,,€18.00m,https://www.transfermarkt.com/federico-chiesa/profil/spieler/341092,2025-12-15,18.0
Liverpool,2025-2026,2025,Alexander Isak,,9,,,€120.00m,https://www.transfermarkt.com/alexander-isak/profil/spieler/349066,2025-12-15,120.0
Liverpool,2025-2026,2025,Hugo Ekitiké,,22,,,€85.00m,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726,2025-12-15,85.0
