team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Manchester City,2023-2024,2023,Ederson,,31,,,€35.00m,https://www.transfermarkt.com/ederson/profil/spieler/238223,2025-12-15,35.0
Manchester City,2023-2024,2023,Stefan Ortega,,18,,,€9.00m,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,2025-12-15,9.0
Manchester City,2023-2024,2023,Zack Steffen,,13,,,€2.00m,https://www.transfermarkt.com/zack-steffen/profil/spieler/221624,2025-12-15,2.0
Manchester City,2023-2024,2023,True Grant,,-,,,€500k,https://www.transfermarkt.com/true-grant/profil/spieler/919438,2025-12-15,0.5
Manchester City,2023-2024,2023,Scott Carson,,33,,,€200k,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,2025-12-15,0.2
Manchester City,2023-2024,2023,Rúben Dias,,3,,,€80.00m,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,2025-12-15,80.0
Manchester City,2023-2024,2023,Josko Gvardiol,,24,,,€75.00m,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,2025-12-15,75.0
Manchester City,2023-2024,2023,Manuel Akanji,,25,,,€45.00m,https://www.transfermarkt.com/manuel-akanji/profil/spieler/284730,2025-12-15,45.0
Manchester City,2023-2024,2023,Nathan Aké,,6,,,€40.00m,https://www.transfermarkt.com/nathan-ake/profil/spieler/177476,2025-12-15,40.0
Manchester City,2023-2024,2023,John Stones,,5,,,€38.00m,https://www.transfermarkt.com/john-stones/profil/spieler/186590,2025-12-15,38.0
Manchester City,2023-2024,2023,Taylor Harwood-Bellis,,-,,,€22.00m,https://www.transfermarkt.com/taylor-harwood-bellis/profil/spieler/503977,2025-12-15,22.0
Manchester City,2023-2024,2023,Aymeric Laporte,,-,,,€20.00m,https://www.transfermarkt.com/aymeric-laporte/profil/spieler/176553,2025-12-15,20.0
Manchester City,2023-2024,2023,Max Alleyne,,-,,,€500k,https://www.transfermarkt.com/max-alleyne/profil/spieler/843595,2025-12-15,0.5
Manchester City,2023-2024,2023,Sergio Gómez,,21,,,€10.00m,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,2025-12-15,10.0
Manchester City,2023-2024,2023,Josh Wilson-Esbrand,,97,,,€4.00m,https://www.transfermarkt.com/josh-wilson-esbrand/profil/spieler/576121,2025-12-15,4.0
Manchester City,2023-2024,2023,Matheus Nunes,,27,,,€50.00m,https://www.transfermarkt.com/matheus-nunes/profil/spieler/601883,2025-12-15,50.0
Manchester City,2023-2024,2023,Rico Lewis,,82,,,€38.00m,https://www.transfermarkt.com/rico-lewis/profil/spieler/701057,2025-12-15,38.0
Manchester City,2023-2024,2023,Kyle Walker,,2,,,€13.00m,https://www.transfermarkt.com/kyle-walker/profil/spieler/95424,2025-12-15,13.0
Manchester City,2023-2024,2023,Issa Kaboré,,-,,,€10.00m,https://www.transfermarkt.com/issa-kabore/profil/spieler/649452,2025-12-15,10.0
Manchester City,2023-2024,2023,Rodri,,16,,,€120.00m,https://www.transfermarkt.com/rodri/profil/spieler/357565,2025-12-15,120.0
Manchester City,2023-2024,2023,Kalvin Phillips,,4,,,€25.00m,https://www.transfermarkt.com/kalvin-phillips/profil/spieler/351749,2025-12-15,25.0
Manchester City,2023-2024,2023,Máximo Perrone,,-,,,€9.00m,https://www.transfermarkt.com/maximo-perrone/profil/spieler/668547,2025-12-15,9.0
Manchester City,2023-2024,2023,Mahamadou Susoho,,-,,,€1.50m,https://www.transfermarkt.com/mahamadou-susoho/profil/spieler/895074,2025-12-15,1.5
Manchester City,2023-2024,2023,Jacob Wright,,-,,,€800k,https://www.transfermarkt.com/jacob-wright/profil/spieler/983702,2025-12-15,0.8
Manchester City,2023-2024,2023,Mateo Kovacic,,8,,,€30.00m,https://www.transfermarkt.com/mateo-kovacic/profil/spieler/51471,2025-12-15,30.0
Manchester City,2023-2024,2023,Cole Palmer,,-,,,€80.00m,https://www.transfermarkt.com/cole-palmer/profil/spieler/568177,2025-12-15,80.0
Manchester City,2023-2024,2023,Bernardo Silva,,20,,,€70.00m,https://www.transfermarkt.com/bernardo-silva/profil/spieler/241641,2025-12-15,70.0
Manchester City,2023-2024,2023,Kevin De Bruyne,,17,,,€50.00m,https://www.transfermarkt.com/kevin-de-bruyne/profil/spieler/88755,2025-12-15,50.0
Manchester City,2023-2024,2023,James McAtee,,-,,,€12.00m,https://www.transfermarkt.com/james-mcatee/profil/spieler/583199,2025-12-15,12.0
Manchester City,2023-2024,2023,Jérémy Doku,,11,,,€65.00m,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049,2025-12-15,65.0
Manchester City,2023-2024,2023,Jack Grealish,,10,,,€60.00m,https://www.transfermarkt.com/jack-grealish/profil/spieler/203460,2025-12-15,60.0
Manchester City,2023-2024,2023,Micah Hamilton,,-,,,€2.00m,https://www.transfermarkt.com/micah-hamilton/profil/spieler/652797,2025-12-15,2.0
Manchester City,2023-2024,2023,Phil Foden,,47,,,€150.00m,https://www.transfermarkt.com/phil-foden/profil/spieler/406635,2025-12-15,150.0
Manchester City,2023-2024,2023,Oscar Bobb,,52,,,€25.00m,https://www.transfermarkt.com/oscar-bobb/profil/spieler/661207,2025-12-15,25.0
Manchester City,2023-2024,2023,Erling Haaland,,9,,,€180.00m,https://www.transfermarkt.com/erling-haaland/profil/spieler/418560,2025-12-15,180.0
Manchester City,2023-2024,2023,Julián Alvarez,,19,,,€90.00m,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024,2025-12-15,90.0
