team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Manchester United,2023-2024,2023,André Onana,,24,,,€35.00m,https://www.transfermarkt.com/andre-onana/profil/spieler/234509,2025-12-15,35.0
Manchester United,2023-2024,2023,Dean Henderson,,-,,,€12.00m,https://www.transfermarkt.com/dean-henderson/profil/spieler/258919,2025-12-15,12.0
Manchester United,2023-2024,2023,Altay Bayındır,,1,,,€10.00m,https://www.transfermarkt.com/altay-bayindir/profil/spieler/336077,2025-12-15,10.0
Manchester United,2023-2024,2023,Radek Vítek,,-,,,€300k,https://www.transfermarkt.com/radek-vitek/profil/spieler/622236,2025-12-15,0.3
Manchester United,2023-2024,2023,Tom Heaton,,22,,,€250k,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,2025-12-15,0.25
Manchester United,2023-2024,2023,Dermot Mee,,-,,,"1,83m",https://www.transfermarkt.com/dermot-mee/profil/spieler/620362,2025-12-15,0.0
Manchester United,2023-2024,2023,Lisandro Martínez,,6,,,€45.00m,https://www.transfermarkt.com/lisandro-martinez/profil/spieler/480762,2025-12-15,45.0
Manchester United,2023-2024,2023,Raphaël Varane,,19,,,€20.00m,https://www.transfermarkt.com/raphael-varane/profil/spieler/164770,2025-12-15,20.0
Manchester United,2023-2024,2023,Harry Maguire,,5,,,€18.00m,https://www.transfermarkt.com/harry-maguire/profil/spieler/177907,2025-12-15,18.0
Manchester United,2023-2024,2023,Victor Lindelöf,,2,,,€15.00m,https://www.transfermarkt.com/victor-lindelof/profil/spieler/184573,2025-12-15,15.0
Manchester United,2023-2024,2023,Willy Kambwala,,53,,,€5.00m,https://www.transfermarkt.com/willy-kambwala/profil/spieler/780630,2025-12-15,5.0
Manchester United,2023-2024,2023,Jonny Evans,,35,,,€2.00m,https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,2025-12-15,2.0
Manchester United,2023-2024,2023,Rhys Bennett,,-,,,"1,87m",https://www.transfermarkt.com/rhys-bennett/profil/spieler/794816,2025-12-15,0.0
Manchester United,2023-2024,2023,Louis Jackson,,-,,,"1,91m",https://www.transfermarkt.com/louis-jackson/profil/spieler/858191,2025-12-15,0.0
Manchester United,2023-2024,2023,Luke Shaw,,23,,,€32.00m,https://www.transfermarkt.com/luke-shaw/profil/spieler/183288,2025-12-15,32.0
Manchester United,2023-2024,2023,Tyrell Malacia,,12,,,€18.00m,https://www.transfermarkt.com/tyrell-malacia/profil/spieler/339340,2025-12-15,18.0
Manchester United,2023-2024,2023,Sergio Reguilón,,15,,,€12.00m,https://www.transfermarkt.com/sergio-reguilon/profil/spieler/282429,2025-12-15,12.0
