team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Marseille,2025-2026,2025,Gerónimo Rulli,,1,,,€9.00m,https://www.transfermarkt.com/geronimo-rulli/profil/spieler/229604,2025-12-15,9.0
Marseille,2025-2026,2025,Jeffrey de Lange,,12,,,€2.00m,https://www.transfermarkt.com/jeffrey-de-lange/profil/spieler/315253,2025-12-15,2.0
Marseille,2025-2026,2025,Rubén Blanco,,36,,,€800k,https://www.transfermarkt.com/ruben-blanco/profil/spieler/199321,2025-12-15,0.8
Marseille,2025-2026,2025,Jelle Van Neck,,40,,,"1,91m",https://www.transfermarkt.com/jelle-van-neck/profil/spieler/727086,2025-12-15,0.0
Marseille,2025-2026,2025,Nayef Aguerd,,21,,,€22.00m,https://www.transfermarkt.com/nayef-aguerd/profil/spieler/361914,2025-12-15,22.0
Marseille,2025-2026,2025,Leonardo Balerdi,,5,,,€20.00m,https://www.transfermarkt.com/leonardo-balerdi/profil/spieler/575998,2025-12-15,20.0
Marseille,2025-2026,2025,Benjamin Pavard,,28,,,€20.00m,https://www.transfermarkt.com/benjamin-pavard/profil/spieler/353366,2025-12-15,20.0
Marseille,2025-2026,2025,Facundo Medina,,32,,,€20.00m,https://www.transfermarkt.com/facundo-medina/profil/spieler/474800,2025-12-15,20.0
Marseille,2025-2026,2025,CJ Egan-Riley,,4,,,€12.00m,https://www.transfermarkt.com/cj-egan-riley/profil/spieler/581669,2025-12-15,12.0
Marseille,2025-2026,2025,Emerson,,33,,,€10.00m,https://www.transfermarkt.com/emerson/profil/spieler/181778,2025-12-15,10.0
Marseille,2025-2026,2025,Ulisses Garcia,,6,,,€3.00m,https://www.transfermarkt.com/ulisses-garcia/profil/spieler/192616,2025-12-15,3.0
Marseille,2025-2026,2025,Amir Murillo,,62,,,€10.00m,https://www.transfermarkt.com/amir-murillo/profil/spieler/354482,2025-12-15,10.0
Marseille,2025-2026,2025,Pol Lirola,,29,,,€2.00m,https://www.transfermarkt.com/pol-lirola/profil/spieler/298975,2025-12-15,2.0
Marseille,2025-2026,2025,Arthur Vermeeren,,18,,,€28.00m,https://www.transfermarkt.com/arthur-vermeeren/profil/spieler/926694,2025-12-15,28.0
Marseille,2025-2026,2025,Pierre-Emile Højbjerg,,23,,,€18.00m,https://www.transfermarkt.com/pierre-emile-hojbjerg/profil/spieler/167799,2025-12-15,18.0
Marseille,2025-2026,2025,Geoffrey Kondogbia,,19,,,€5.00m,https://www.transfermarkt.com/geoffrey-kondogbia/profil/spieler/127189,2025-12-15,5.0
Marseille,2025-2026,2025,Matt O'Riley,,17,,,€20.00m,https://www.transfermarkt.com/matt-oriley/profil/spieler/406634,2025-12-15,20.0
Marseille,2025-2026,2025,Bilal Nadir,,26,,,€9.00m,https://www.transfermarkt.com/bilal-nadir/profil/spieler/659520,2025-12-15,9.0
Marseille,2025-2026,2025,Angel Gomes,,8,,,€18.00m,https://www.transfermarkt.com/angel-gomes/profil/spieler/392770,2025-12-15,18.0
Marseille,2025-2026,2025,Darryl Bakola,,50,,,€4.00m,https://www.transfermarkt.com/darryl-bakola/profil/spieler/1170286,2025-12-15,4.0
Marseille,2025-2026,2025,Igor Paixão,,14,,,€35.00m,https://www.transfermarkt.com/igor-paixao/profil/spieler/653610,2025-12-15,35.0
Marseille,2025-2026,2025,Hamed Traoré,,20,,,€15.00m,https://www.transfermarkt.com/hamed-traore/profil/spieler/391065,2025-12-15,15.0
Marseille,2025-2026,2025,Mason Greenwood,,10,,,€50.00m,https://www.transfermarkt.com/mason-greenwood/profil/spieler/532826,2025-12-15,50.0
Marseille,2025-2026,2025,Timothy Weah,,22,,,€20.00m,https://www.transfermarkt.com/timothy-weah/profil/spieler/370846,2025-12-15,20.0
Marseille,2025-2026,2025,Amine Gouiri,,9,,,€28.00m,https://www.transfermarkt.com/amine-gouiri/profil/spieler/418659,2025-12-15,28.0
Marseille,2025-2026,2025,Robinio Vaz,,34,,,€10.00m,https://www.transfermarkt.com/robinio-vaz/profil/spieler/1131161,2025-12-15,10.0
Marseille,2025-2026,2025,Neal Maupay,,7,,,€4.00m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115,2025-12-15,4.0
Marseille,2025-2026,2025,Pierre-Emerick Aubameyang,,97,,,€3.00m,https://www.transfermarkt.com/pierre-emerick-aubameyang/profil/spieler/58864,2025-12-15,3.0
