team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
PSG,2025-2026,2025,Lucas Chevalier,,30,,,€35.00m,https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600,2025-12-15,35.0
PSG,2025-2026,2025,Matvey Safonov,,39,,,€15.00m,https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470,2025-12-15,15.0
PSG,2025-2026,2025,Renato Marin,,89,,,€500k,https://www.transfermarkt.com/renato-marin/profil/spieler/1041614,2025-12-15,0.5
PSG,2025-2026,2025,Willian Pacho,,51,,,€70.00m,https://www.transfermarkt.com/willian-pacho/profil/spieler/661171,2025-12-15,70.0
PSG,2025-2026,2025,Ilya Zabarnyi,,6,,,€50.00m,https://www.transfermarkt.com/ilya-zabarnyi/profil/spieler/659089,2025-12-15,50.0
PSG,2025-2026,2025,Marquinhos,,5,,,€30.00m,https://www.transfermarkt.com/marquinhos/profil/spieler/181767,2025-12-15,30.0
PSG,2025-2026,2025,Lucas Beraldo,,4,,,€20.00m,https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171,2025-12-15,20.0
PSG,2025-2026,2025,Noham Kamara,,43,,,€1.00m,https://www.transfermarkt.com/noham-kamara/profil/spieler/1275040,2025-12-15,1.0
PSG,2025-2026,2025,Nuno Mendes,,25,,,€75.00m,https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341,2025-12-15,75.0
PSG,2025-2026,2025,Lucas Hernández,,21,,,€20.00m,https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,2025-12-15,20.0
PSG,2025-2026,2025,Achraf Hakimi,,2,,,€80.00m,https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073,2025-12-15,80.0
PSG,2025-2026,2025,Vitinha,,17,,,€110.00m,https://www.transfermarkt.com/vitinha/profil/spieler/487469,2025-12-15,110.0
PSG,2025-2026,2025,João Neves,,87,,,€110.00m,https://www.transfermarkt.com/joao-neves/profil/spieler/670681,2025-12-15,110.0
PSG,2025-2026,2025,Warren Zaïre-Emery,,33,,,€50.00m,https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092,2025-12-15,50.0
PSG,2025-2026,2025,Fabián Ruiz,,8,,,€40.00m,https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219,2025-12-15,40.0
PSG,2025-2026,2025,Senny Mayulu,,24,,,€40.00m,https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693,2025-12-15,40.0
PSG,2025-2026,2025,Kang-in Lee,,19,,,€25.00m,https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149,2025-12-15,25.0
PSG,2025-2026,2025,Khvicha Kvaratskhelia,,7,,,€90.00m,https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670,2025-12-15,90.0
PSG,2025-2026,2025,Bradley Barcola,,29,,,€70.00m,https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265,2025-12-15,70.0
PSG,2025-2026,2025,Quentin Ndjantou,,47,,,€7.00m,https://www.transfermarkt.com/quentin-ndjantou/profil/spieler/1053208,2025-12-15,7.0
PSG,2025-2026,2025,Désiré Doué,,14,,,€90.00m,https://www.transfermarkt.com/desire-doue/profil/spieler/914562,2025-12-15,90.0
PSG,2025-2026,2025,Ibrahim Mbaye,,49,,,€25.00m,https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888,2025-12-15,25.0
PSG,2025-2026,2025,Ousmane Dembélé,,10,,,€100.00m,https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230,2025-12-15,100.0
PSG,2025-2026,2025,Gonçalo Ramos,,9,,,€35.00m,https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550,2025-12-15,35.0
