team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
RB Leipzig,2025-2026,2025,Maarten Vandevoordt,,26,,,€8.00m,https://www.transfermarkt.com/maarten-vandevoordt/profil/spieler/486046,2025-12-15,8.0
RB Leipzig,2025-2026,2025,Péter Gulácsi,,1,,,€2.00m,https://www.transfermarkt.com/peter-gulacsi/profil/spieler/57071,2025-12-15,2.0
RB Leipzig,2025-2026,2025,Leopold Zingerle,,25,,,€400k,https://www.transfermarkt.com/leopold-zingerle/profil/spieler/160971,2025-12-15,0.4
RB Leipzig,2025-2026,2025,Castello Lukeba,,23,,,€40.00m,https://www.transfermarkt.com/castello-lukeba/profil/spieler/618472,2025-12-15,40.0
RB Leipzig,2025-2026,2025,El Chadaille Bitshiabu,,5,,,€15.00m,https://www.transfermarkt.com/el-chadaille-bitshiabu/profil/spieler/787912,2025-12-15,15.0
RB Leipzig,2025-2026,2025,Willi Orbán,,4,,,€8.00m,https://www.transfermarkt.com/willi-orban/profil/spieler/93740,2025-12-15,8.0
RB Leipzig,2025-2026,2025,Lukas Klostermann,,16,,,€5.00m,https://www.transfermarkt.com/lukas-klostermann/profil/spieler/215599,2025-12-15,5.0
RB Leipzig,2025-2026,2025,David Raum,,22,,,€20.00m,https://www.transfermarkt.com/david-raum/profil/spieler/318204,2025-12-15,20.0
RB Leipzig,2025-2026,2025,Max Finkgräfe,,35,,,€4.00m,https://www.transfermarkt.com/max-finkgrafe/profil/spieler/810649,2025-12-15,4.0
RB Leipzig,2025-2026,2025,Ridle Baku,,17,,,€12.00m,https://www.transfermarkt.com/ridle-baku/profil/spieler/327251,2025-12-15,12.0
RB Leipzig,2025-2026,2025,Benjamin Henrichs,,39,,,€12.00m,https://www.transfermarkt.com/benjamin-henrichs/profil/spieler/202591,2025-12-15,12.0
RB Leipzig,2025-2026,2025,Kosta Nedeljkovic,,19,,,€10.00m,https://www.transfermarkt.com/kosta-nedeljkovic/profil/spieler/848682,2025-12-15,10.0
RB Leipzig,2025-2026,2025,Nicolas Seiwald,,13,,,€18.00m,https://www.transfermarkt.com/nicolas-seiwald/profil/spieler/404950,2025-12-15,18.0
RB Leipzig,2025-2026,2025,Ezechiel Banzuzi,,6,,,€18.00m,https://www.transfermarkt.com/ezechiel-banzuzi/profil/spieler/865682,2025-12-15,18.0
RB Leipzig,2025-2026,2025,Amadou Haidara,,8,,,€12.00m,https://www.transfermarkt.com/amadou-haidara/profil/spieler/402008,2025-12-15,12.0
RB Leipzig,2025-2026,2025,Assan Ouédraogo,,20,,,€10.00m,https://www.transfermarkt.com/assan-ouedraogo/profil/spieler/897424,2025-12-15,10.0
RB Leipzig,2025-2026,2025,Xaver Schlager,,24,,,€10.00m,https://www.transfermarkt.com/xaver-schlager/profil/spieler/223979,2025-12-15,10.0
RB Leipzig,2025-2026,2025,Kevin Kampl,,44,,,€2.50m,https://www.transfermarkt.com/kevin-kampl/profil/spieler/53418,2025-12-15,2.5
RB Leipzig,2025-2026,2025,Joyeux Masanka Bungi,,42,,,"1,86m",https://www.transfermarkt.com/joyeux-masanka-bungi/profil/spieler/990146,2025-12-15,0.0
RB Leipzig,2025-2026,2025,Andrija Maksimovic,,33,,,€15.00m,https://www.transfermarkt.com/andrija-maksimovic/profil/spieler/952779,2025-12-15,15.0
RB Leipzig,2025-2026,2025,Christoph Baumgartner,,14,,,€12.00m,https://www.transfermarkt.com/christoph-baumgartner/profil/spieler/324278,2025-12-15,12.0
RB Leipzig,2025-2026,2025,Viggo Gebel,,47,,,€350k,https://www.transfermarkt.com/viggo-gebel/profil/spieler/1074526,2025-12-15,0.35
RB Leipzig,2025-2026,2025,Antonio Nusa,,7,,,€28.00m,https://www.transfermarkt.com/antonio-nusa/profil/spieler/894914,2025-12-15,28.0
RB Leipzig,2025-2026,2025,Yan Diomande,,49,,,€20.00m,https://www.transfermarkt.com/yan-diomande/profil/spieler/1390649,2025-12-15,20.0
RB Leipzig,2025-2026,2025,Timo Werner,,36,,,€5.00m,https://www.transfermarkt.com/timo-werner/profil/spieler/170527,2025-12-15,5.0
RB Leipzig,2025-2026,2025,Tidiam Gomis,,27,,,€3.00m,https://www.transfermarkt.com/tidiam-gomis/profil/spieler/955448,2025-12-15,3.0
RB Leipzig,2025-2026,2025,Johan Bakayoko,,9,,,€30.00m,https://www.transfermarkt.com/johan-bakayoko/profil/spieler/565424,2025-12-15,30.0
RB Leipzig,2025-2026,2025,Conrad Harder,,11,,,€24.00m,https://www.transfermarkt.com/conrad-harder/profil/spieler/807386,2025-12-15,24.0
RB Leipzig,2025-2026,2025,Rômulo,,40,,,€22.00m,https://www.transfermarkt.com/romulo/profil/spieler/957874,2025-12-15,22.0
RB Leipzig,2025-2026,2025,Samba Konaté,,45,,,€1.00m,https://www.transfermarkt.com/samba-konate/profil/spieler/1380977,2025-12-15,1.0
