team,season,season_year,player_name,position,shirt_number,age,nationality,market_value,player_url,scraped_date,market_value_millions
Real Madrid,2025-2026,2025,Thibaut Courtois,,1,,,€18.00m,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,2025-12-15,18.0
Real Madrid,2025-2026,2025,Andriy Lunin,,13,,,€15.00m,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,2025-12-15,15.0
Real Madrid,2025-2026,2025,Dean Huijsen,,24,,,€70.00m,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,2025-12-15,70.0
Real Madrid,2025-2026,2025,Éder Militão,,3,,,€30.00m,https://www.transfermarkt.com/eder-militao/profil/spieler/401530,2025-12-15,30.0
Real Madrid,2025-2026,2025,Raúl Asencio,,17,,,€30.00m,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,2025-12-15,30.0
Real Madrid,2025-2026,2025,Antonio Rüdiger,,22,,,€12.00m,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,2025-12-15,12.0
Real Madrid,2025-2026,2025,David Alaba,,4,,,€4.00m,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,2025-12-15,4.0
Real Madrid,2025-2026,2025,Álvaro Carreras,,18,,,€60.00m,https://www.transfermarkt.com/alvaro-carreras/profil/spieler/811778,2025-12-15,60.0
Real Madrid,2025-2026,2025,Fran García,,20,,,€15.00m,https://www.transfermarkt.com/fran-garcia/profil/spieler/341264,2025-12-15,15.0
Real Madrid,2025-2026,2025,Ferland Mendy,,23,,,€8.00m,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,2025-12-15,8.0
Real Madrid,2025-2026,2025,Trent Alexander-Arnold,,12,,,€70.00m,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,2025-12-15,70.0
Real Madrid,2025-2026,2025,Daniel Carvajal,,2,,,€7.00m,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,2025-12-15,7.0
Real Madrid,2025-2026,2025,Aurélien Tchouaméni,,14,,,€75.00m,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,2025-12-15,75.0
Real Madrid,2025-2026,2025,Federico Valverde,,8,,,€120.00m,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,2025-12-15,120.0
Real Madrid,2025-2026,2025,Eduardo Camavinga,,6,,,€50.00m,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,2025-12-15,50.0
Real Madrid,2025-2026,2025,Dani Ceballos,,19,,,€8.00m,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,2025-12-15,8.0
Real Madrid,2025-2026,2025,Jude Bellingham,,5,,,€160.00m,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,2025-12-15,160.0
Real Madrid,2025-2026,2025,Arda Güler,,15,,,€90.00m,https://www.transfermarkt.com/arda-guler/profil/spieler/861410,2025-12-15,90.0
Real Madrid,2025-2026,2025,Vinicius Junior,,7,,,€150.00m,https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998,2025-12-15,150.0
Real Madrid,2025-2026,2025,Rodrygo,,11,,,€60.00m,https://www.transfermarkt.com/rodrygo/profil/spieler/412363,2025-12-15,60.0
Real Madrid,2025-2026,2025,Franco Mastantuono,,30,,,€50.00m,https://www.transfermarkt.com/franco-mastantuono/profil/spieler/1057316,2025-12-15,50.0
Real Madrid,2025-2026,2025,Brahim Díaz,,21,,,€35.00m,https://www.transfermarkt.com/brahim-diaz/profil/spieler/314678,2025-12-15,35.0
Real Madrid,2025-2026,2025,Kylian Mbappé,,10,,,€200.00m,https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229,2025-12-15,200.0
Real Madrid,2025-2026,2025,Endrick,,9,,,€25.00m,https://www.transfermarkt.com/endrick/profil/spieler/971570,2025-12-15,25.0
Real Madrid,2025-2026,2025,Gonzalo García,,16,,,€15.00m,https://www.transfermarkt.com/gonzalo-garcia/profil/spieler/935230,2025-12-15,15.0
